"","loan_amount","sector","term_in_months","borrower_genders","date"
"1",250,"Services",4,"female",2014-01-01
"2",250,"Food",13,"female",2014-01-02
"3",250,"Retail",14,"female",2014-01-02
"4",250,"Services",14,"female",2014-01-02
"5",125,"Services",3,"male",2014-01-02
"6",250,"Food",13,"female",2014-01-02
"7",600,"Food",14,"female",2014-01-02
"8",350,"Food",13,"female",2014-01-02
"9",250,"Food",11,"female",2014-01-02
"10",125,"Services",3,"female",2014-01-02
"11",250,"Clothing",11,"female",2014-01-02
"12",250,"Services",14,"female",2014-01-02
"13",250,"Clothing",13,"female",2014-01-02
"14",250,"Services",11,"female",2014-01-02
"15",250,"Clothing",11,"female",2014-01-02
"16",250,"Food",11,"female",2014-01-02
"17",250,"Food",13,"female",2014-01-02
"18",600,"Clothing",15,"female",2014-01-02
"19",250,"Food",13,"female",2014-01-02
"20",600,"Agriculture",13,"female",2014-01-02
"21",500,"Food",14,"male",2014-01-02
"22",250,"Services",14,"female",2014-01-02
"23",250,"Food",11,"male",2014-01-02
"24",125,"Food",14,"female",2014-01-02
"25",600,"Food",13,"female",2014-01-02
"26",125,"Food",3,"female",2014-01-02
"27",700,"Retail",13,"female",2014-01-02
"28",250,"Food",14,"female",2014-01-02
"29",250,"Clothing",11,"female",2014-01-02
"30",250,"Food",13,"female",2014-01-02
"31",250,"Food",13,"female",2014-01-02
"32",125,"Services",11,"female",2014-01-02
"33",250,"Agriculture",10,"female",2014-01-02
"34",250,"Services",13,"female",2014-01-02
"35",250,"Food",13,"female",2014-01-02
"36",250,"Retail",13,"female",2014-01-02
"37",250,"Food",13,"male",2014-01-02
"38",475,"Retail",13,"female",2014-01-02
"39",250,"Food",13,"female",2014-01-02
"40",1175,"Clothing",13,"female",2014-01-02
"41",175,"Services",13,"female",2014-01-02
"42",250,"Food",11,"female",2014-01-02
"43",600,"Food",13,"female",2014-01-02
"44",475,"Clothing",13,"female",2014-01-02
"45",250,"Food",13,"female",2014-01-02
"46",250,"Agriculture",13,"female",2014-01-02
"47",1225,"Clothing",14,"female",2014-01-02
"48",600,"Retail",13,"female",2014-01-02
"49",125,"Clothing",11,"female",2014-01-02
"50",125,"Services",3,"female",2014-01-02
"51",600,"Food",14,"female",2014-01-02
"52",250,"Food",11,"female",2014-01-02
"53",350,"Food",14,"female",2014-01-02
"54",350,"Clothing",11,"female",2014-01-02
"55",600,"Services",13,"female",2014-01-02
"56",600,"Food",13,"female",2014-01-02
"57",600,"Food",13,"female",2014-01-02
"58",250,"Food",13,"female",2014-01-02
"59",250,"Services",13,"female",2014-01-02
"60",250,"Services",13,"female",2014-01-02
"61",250,"Food",13,"female",2014-01-02
"62",600,"Retail",14,"female",2014-01-03
"63",600,"Retail",14,"male",2014-01-03
"64",250,"Clothing",14,"female",2014-01-03
"65",700,"Services",11,"female",2014-01-03
"66",125,"Clothing",14,"female",2014-01-03
"67",1175,"Clothing",14,"female",2014-01-03
"68",850,"Food",11,"female",2014-01-03
"69",125,"Services",11,"female",2014-01-03
"70",475,"Retail",8,"female",2014-01-03
"71",600,"Agriculture",14,"female",2014-01-03
"72",600,"Retail",14,"female",2014-01-03
"73",250,"Food",14,"female",2014-01-03
"74",350,"Personal Use",14,"female",2014-01-03
"75",600,"Food",14,"female",2014-01-03
"76",250,"Food",14,"female",2014-01-03
"77",600,"Personal Use",14,"female",2014-01-03
"78",600,"Retail",14,"male",2014-01-03
"79",600,"Agriculture",14,"male",2014-01-03
"80",125,"Food",14,"female",2014-01-03
"81",600,"Agriculture",14,"male",2014-01-03
"82",250,"Agriculture",11,"female",2014-01-03
"83",1225,"Retail",14,"female",2014-01-03
"84",125,"Arts",3,"female",2014-01-03
"85",500,"Services",11,"male",2014-01-03
"86",600,"Agriculture",14,"male",2014-01-03
"87",600,"Personal Use",14,"female",2014-01-03
"88",250,"Food",14,"female",2014-01-03
"89",250,"Food",14,"female",2014-01-03
"90",1275,"Transportation",20,"male",2014-01-03
"91",125,"Services",3,"female",2014-01-03
